round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,losses,lstm_units,optimizer
100,0.007025701459497213,0.0019282139837741852,0.0,0.0,32,0.1,categorical_crossentropy,100,rmsprop
100,0.005711495876312256,0.0018958891741931438,0.0,0.0,32,0.1,categorical_crossentropy,100,Adam
100,0.013460496440529823,0.002846389776095748,0.0,0.0,32,0.1,categorical_crossentropy,200,rmsprop
100,0.006785058416426182,0.002308413153514266,0.0,0.0,32,0.1,categorical_crossentropy,200,Adam
100,0.006868712604045868,0.0017195603577420115,0.0,0.0,32,0.1,categorical_crossentropy,300,rmsprop
100,0.008343508467078209,0.002128571504727006,0.0,0.0,32,0.1,categorical_crossentropy,300,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.1,mean_absolute_error,100,rmsprop
100,0.06464647501707077,0.06464647501707077,0.0,0.0,32,0.1,mean_absolute_error,100,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.1,mean_absolute_error,200,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.1,mean_absolute_error,200,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.1,mean_absolute_error,300,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.1,mean_absolute_error,300,Adam
100,0.012067200616002083,0.0027974843978881836,0.0,0.0,32,0.2,categorical_crossentropy,100,rmsprop
100,0.005267932545393705,0.0017567647155374289,0.0,0.0,32,0.2,categorical_crossentropy,100,Adam
100,0.008048495277762413,0.0017935468349605799,0.0,0.0,32,0.2,categorical_crossentropy,200,rmsprop
100,0.007607914041727781,0.0025619729422032833,0.0,0.0,32,0.2,categorical_crossentropy,200,Adam
100,0.008206061087548733,0.0019674671348184347,0.0,0.0,32,0.2,categorical_crossentropy,300,rmsprop
100,0.008818496018648148,0.0029270085506141186,0.0,0.0,32,0.2,categorical_crossentropy,300,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.2,mean_absolute_error,100,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.2,mean_absolute_error,100,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.2,mean_absolute_error,200,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.2,mean_absolute_error,200,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.2,mean_absolute_error,300,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.2,mean_absolute_error,300,Adam
100,1.0425878763198853,0.06018688902258873,0.0,0.0,32,0.5,categorical_crossentropy,100,rmsprop
100,0.006260726600885391,0.0021128945518285036,0.0,0.0,32,0.5,categorical_crossentropy,100,Adam
100,0.035908546298742294,0.0034176327753812075,0.0,0.0,32,0.5,categorical_crossentropy,200,rmsprop
100,0.007018188945949078,0.002091409405693412,0.0,0.0,32,0.5,categorical_crossentropy,200,Adam
100,0.016543244943022728,0.0033059152774512768,0.0,0.0,32,0.5,categorical_crossentropy,300,rmsprop
100,0.012032776139676571,0.003406367264688015,0.0,0.0,32,0.5,categorical_crossentropy,300,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.5,mean_absolute_error,100,rmsprop
100,0.06464652717113495,0.06464652717113495,0.0,0.0,32,0.5,mean_absolute_error,100,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.5,mean_absolute_error,200,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.5,mean_absolute_error,200,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.5,mean_absolute_error,300,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,32,0.5,mean_absolute_error,300,Adam
100,0.00782486330717802,0.002068174537271261,0.0,0.0,64,0.1,categorical_crossentropy,100,rmsprop
100,0.006805277895182371,0.0023995605297386646,0.0,0.0,64,0.1,categorical_crossentropy,100,Adam
100,0.005595149472355843,0.0018981067696586251,0.0,0.0,64,0.1,categorical_crossentropy,200,rmsprop
100,0.012197762727737427,0.004212965257465839,0.0,0.0,64,0.1,categorical_crossentropy,200,Adam
100,0.006474149879068136,0.001783378655090928,0.0,0.0,64,0.1,categorical_crossentropy,300,rmsprop
100,0.007603878155350685,0.002689586952328682,0.0,0.0,64,0.1,categorical_crossentropy,300,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.1,mean_absolute_error,100,rmsprop
100,0.06464651972055435,0.06464651972055435,0.0,0.0,64,0.1,mean_absolute_error,100,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.1,mean_absolute_error,200,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.1,mean_absolute_error,200,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.1,mean_absolute_error,300,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.1,mean_absolute_error,300,Adam
100,0.007324462290853262,0.002331712981685996,0.0,0.0,64,0.2,categorical_crossentropy,100,rmsprop
100,0.010356149636209011,0.003773649223148823,0.0,0.0,64,0.2,categorical_crossentropy,100,Adam
100,0.007730461191385984,0.0022136676125228405,0.0,0.0,64,0.2,categorical_crossentropy,200,rmsprop
100,0.008332560770213604,0.0027637712191790342,0.0,0.0,64,0.2,categorical_crossentropy,200,Adam
100,0.007925485260784626,0.002041176427155733,0.0,0.0,64,0.2,categorical_crossentropy,300,rmsprop
100,0.008047736249864101,0.002769144019111991,0.0,0.0,64,0.2,categorical_crossentropy,300,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.2,mean_absolute_error,100,rmsprop
100,0.06464652717113495,0.06464652717113495,0.0,0.0,64,0.2,mean_absolute_error,100,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.2,mean_absolute_error,200,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.2,mean_absolute_error,200,Adam
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.2,mean_absolute_error,300,rmsprop
100,0.06464646756649017,0.06464646756649017,0.0,0.0,64,0.2,mean_absolute_error,300,Adam
100,0.009982365183532238,0.0029706901405006647,0.0,0.0,64,0.5,categorical_crossentropy,100,rmsprop
100,0.009508412331342697,0.0032079084776341915,0.0,0.0,64,0.5,categorical_crossentropy,100,Adam
100,0.009718154557049274,0.002718304516747594,0.0,0.0,64,0.5,categorical_crossentropy,200,rmsprop
100,0.005874156951904297,0.0018866440514102578,0.0,0.0,64,0.5,categorical_crossentropy,200,Adam
100,0.005948890466243029,0.0019283024594187737,0.0,0.0,64,0.5,categorical_crossentropy,300,rmsprop
