round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,losses,lstm_units,optimizer
100,0.0037291895132511854,0.0013306501787155867,0.0,0.0,32,0.1,categorical_crossentropy,100,rmsprop
100,0.004728137981146574,0.0017327617388218641,0.0,0.0,32,0.1,categorical_crossentropy,100,Adam
100,0.003827210981398821,0.001298031653277576,0.0,0.0,32,0.1,categorical_crossentropy,200,rmsprop
100,0.0037871021777391434,0.0013292953372001648,0.0,0.0,32,0.1,categorical_crossentropy,200,Adam
100,0.003569558495655656,0.001198836020193994,0.0,0.0,32,0.1,categorical_crossentropy,300,rmsprop
100,0.0051204548217356205,0.001722830580547452,0.0,0.0,32,0.1,categorical_crossentropy,300,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.1,mean_absolute_error,100,rmsprop
100,0.05101010575890541,0.05101010575890541,0.0,0.0,32,0.1,mean_absolute_error,100,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.1,mean_absolute_error,200,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.1,mean_absolute_error,200,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.1,mean_absolute_error,300,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.1,mean_absolute_error,300,Adam
100,0.1507555991411209,0.035617247223854065,0.0,0.0,32,0.2,categorical_crossentropy,100,rmsprop
100,0.04104376956820488,0.01248849369585514,0.0,0.0,32,0.2,categorical_crossentropy,100,Adam
100,0.00444033183157444,0.0012923807371407747,0.0,0.0,32,0.2,categorical_crossentropy,200,rmsprop
100,0.003599979914724827,0.0012972613330930471,0.0,0.0,32,0.2,categorical_crossentropy,200,Adam
100,0.0051062754355371,0.0013842820189893246,0.0,0.0,32,0.2,categorical_crossentropy,300,rmsprop
100,0.011902458034455776,0.003498046426102519,0.0,0.0,32,0.2,categorical_crossentropy,300,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.2,mean_absolute_error,100,rmsprop
100,0.05101010575890541,0.05101010575890541,0.0,0.0,32,0.2,mean_absolute_error,100,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.2,mean_absolute_error,200,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.2,mean_absolute_error,200,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.2,mean_absolute_error,300,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.2,mean_absolute_error,300,Adam
100,0.014272668398916721,0.0039348783902823925,0.0,0.0,32,0.5,categorical_crossentropy,100,rmsprop
100,0.003999615088105202,0.0016101456712931395,0.0,0.0,32,0.5,categorical_crossentropy,100,Adam
100,0.021484432741999626,0.0037637443747371435,0.0,0.0,32,0.5,categorical_crossentropy,200,rmsprop
100,0.0036636441946029663,0.001352798193693161,0.0,0.0,32,0.5,categorical_crossentropy,200,Adam
100,0.016496306285262108,0.005051311571151018,0.0,0.0,32,0.5,categorical_crossentropy,300,rmsprop
100,0.007970545440912247,0.0028426588978618383,0.0,0.0,32,0.5,categorical_crossentropy,300,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.5,mean_absolute_error,100,rmsprop
100,0.051010146737098694,0.051010146737098694,0.0,0.0,32,0.5,mean_absolute_error,100,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.5,mean_absolute_error,200,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.5,mean_absolute_error,200,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.5,mean_absolute_error,300,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,32,0.5,mean_absolute_error,300,Adam
100,0.004927820060402155,0.0016765601467341185,0.0,0.0,64,0.1,categorical_crossentropy,100,rmsprop
100,0.00615417817607522,0.0023676033597439528,0.0,0.0,64,0.1,categorical_crossentropy,100,Adam
100,0.004370182752609253,0.0015727211721241474,0.0,0.0,64,0.1,categorical_crossentropy,200,rmsprop
100,0.007169089745730162,0.002253035781905055,0.0,0.0,64,0.1,categorical_crossentropy,200,Adam
100,0.004287825897336006,0.0013529772404581308,0.0,0.0,64,0.1,categorical_crossentropy,300,rmsprop
100,0.018528297543525696,0.00823913887143135,0.0,0.0,64,0.1,categorical_crossentropy,300,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.1,mean_absolute_error,100,rmsprop
100,0.051010143011808395,0.051010143011808395,0.0,0.0,64,0.1,mean_absolute_error,100,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.1,mean_absolute_error,200,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.1,mean_absolute_error,200,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.1,mean_absolute_error,300,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.1,mean_absolute_error,300,Adam
100,0.005785856395959854,0.0017370441928505898,0.0,0.0,64,0.2,categorical_crossentropy,100,rmsprop
100,0.00645491573959589,0.002503385301679373,0.0,0.0,64,0.2,categorical_crossentropy,100,Adam
100,0.0634872317314148,0.009623224847018719,0.0,0.0,64,0.2,categorical_crossentropy,200,rmsprop
100,0.009105132892727852,0.0034775594249367714,0.0,0.0,64,0.2,categorical_crossentropy,200,Adam
100,0.005029108375310898,0.0016386042116209865,0.0,0.0,64,0.2,categorical_crossentropy,300,rmsprop
100,0.12697800993919373,0.04004136472940445,0.0,0.0,64,0.2,categorical_crossentropy,300,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.2,mean_absolute_error,100,rmsprop
100,0.05101020261645317,0.05101020261645317,0.0,0.0,64,0.2,mean_absolute_error,100,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.2,mean_absolute_error,200,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.2,mean_absolute_error,200,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.2,mean_absolute_error,300,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.2,mean_absolute_error,300,Adam
100,0.009143124334514141,0.002905788365751505,0.0,0.0,64,0.5,categorical_crossentropy,100,rmsprop
100,0.009842094033956528,0.003155807498842478,0.0,0.0,64,0.5,categorical_crossentropy,100,Adam
100,0.005823943763971329,0.0017662993632256985,0.0,0.0,64,0.5,categorical_crossentropy,200,rmsprop
100,0.00780757749453187,0.0028127366676926613,0.0,0.0,64,0.5,categorical_crossentropy,200,Adam
100,0.004473266191780567,0.0013973589520901442,0.0,0.0,64,0.5,categorical_crossentropy,300,rmsprop
100,0.007983371615409851,0.002677104901522398,0.0,0.0,64,0.5,categorical_crossentropy,300,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.5,mean_absolute_error,100,rmsprop
100,0.05101017653942108,0.05101017653942108,0.0,0.0,64,0.5,mean_absolute_error,100,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.5,mean_absolute_error,200,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.5,mean_absolute_error,200,Adam
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.5,mean_absolute_error,300,rmsprop
100,0.05101010203361511,0.05101010203361511,0.0,0.0,64,0.5,mean_absolute_error,300,Adam
