round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,losses,lstm_units,optimizer
100,0.01717875339090824,0.003968396224081516,0.0,0.0,32,0.1,categorical_crossentropy,100,rmsprop
100,0.009250286035239697,0.0032625007443130016,0.0,0.0,32,0.1,categorical_crossentropy,100,Adam
100,0.03750654682517052,0.006188411731272936,0.0,0.0,32,0.1,categorical_crossentropy,200,rmsprop
100,0.009359710849821568,0.00268401182256639,0.0,0.0,32,0.1,categorical_crossentropy,200,Adam
100,0.008673286996781826,0.0023702499456703663,0.0,0.0,32,0.1,categorical_crossentropy,300,rmsprop
100,0.00838218443095684,0.002561087952926755,0.0,0.0,32,0.1,categorical_crossentropy,300,Adam
100,0.10959596186876297,0.10959596186876297,0.0,0.0,32,0.1,mean_absolute_error,100,rmsprop
100,0.10959596931934357,0.10959596931934357,0.0,0.0,32,0.1,mean_absolute_error,100,Adam
100,0.10959596186876297,0.10959596186876297,0.0,0.0,32,0.1,mean_absolute_error,200,rmsprop
100,0.10959596186876297,0.10959596186876297,0.0,0.0,32,0.1,mean_absolute_error,200,Adam
100,0.10959596186876297,0.10959596186876297,0.0,0.0,32,0.1,mean_absolute_error,300,rmsprop
100,0.10959596186876297,0.10959596186876297,0.0,0.0,32,0.1,mean_absolute_error,300,Adam
100,0.012076116167008877,0.002668089000508189,0.0,0.0,32,0.2,categorical_crossentropy,100,rmsprop
100,0.009918568655848503,0.0031144439708441496,0.0,0.0,32,0.2,categorical_crossentropy,100,Adam
100,0.02041970193386078,0.005623060278594494,0.0,0.0,32,0.2,categorical_crossentropy,200,rmsprop
100,0.017360979691147804,0.005939191207289696,0.0,0.0,32,0.2,categorical_crossentropy,200,Adam
100,0.010403428226709366,0.00252622296102345,0.0,0.0,32,0.2,categorical_crossentropy,300,rmsprop
100,0.015393784269690514,0.004359544720500708,0.0,0.0,32,0.2,categorical_crossentropy,300,Adam
