round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,lstm_units,optimizer
100,0.022283734753727913,0.013379732146859169,0.0,0.0,32,0.1,100,rmsprop
100,0.07496847957372665,0.05946247652173042,0.0,0.0,32,0.1,100,Adam
100,0.022075138986110687,0.011615402065217495,0.0,0.0,32,0.1,200,rmsprop
100,0.029517685994505882,0.025855593383312225,0.0,0.0,32,0.1,200,Adam
100,0.005307560786604881,0.004143003839999437,0.0,0.0,32,0.1,300,rmsprop
100,0.1369849443435669,0.09078564494848251,0.0,0.0,32,0.1,300,Adam
100,0.02383282408118248,0.01607048511505127,0.0,0.0,32,0.2,100,rmsprop
100,0.01120051834732294,0.009598377160727978,0.0,0.0,32,0.2,100,Adam
100,0.013645157217979431,0.008863713592290878,0.0,0.0,32,0.2,200,rmsprop
100,0.07991086691617966,0.0598972849547863,0.0,0.0,32,0.2,200,Adam
100,0.005663116462528706,0.004670924041420221,0.0,0.0,32,0.2,300,rmsprop
100,0.006196162197738886,0.0050645628944039345,0.0,0.0,32,0.2,300,Adam
100,0.043677233159542084,0.030971482396125793,0.0,0.0,32,0.5,100,rmsprop
100,0.022251423448324203,0.017462393268942833,0.0,0.0,32,0.5,100,Adam
100,0.01797224022448063,0.014287594705820084,0.0,0.0,32,0.5,200,rmsprop
100,0.17199558019638062,0.05729180946946144,0.0,0.0,32,0.5,200,Adam
